circuit,q,eps,n,F,purity,Q,diff,diff2,eig0,eig1,eig2,eig3,eig_min,p_Phi_plus,p_Phi_minus,p_Psi_plus,p_Psi_minus,bell_offdiag,delta_iso,iso_XXplusYY,iso_XXminusZZ,herm_err,trace_err,P_II,P_IX,P_IY,P_IZ,P_XI,P_XX,P_XY,P_XZ,P_YI,P_YX,P_YY,P_YZ,P_ZI,P_ZX,P_ZY,P_ZZ
step4,0.0,0.05,0,0.9624999999999998,0.926875,nan,nan,nan,0.0124999999999999,0.012500000000000011,0.012500000000000067,0.9624999999999999,0.0124999999999999,0.9624999999999998,0.01250000000000003,0.01250000000000001,0.01250000000000001,8.494454310017238e-17,1.9229626863835638e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,0.95
step4,0.0,0.05,1,0.9994942683749152,0.9989888777691329,0.9268750000000001,0.04271730160946138,nan,0.00016857720836139955,0.0001685772083614325,0.0001685772083615863,0.9994942683749153,0.00016857720836139955,0.9994942683749152,0.00016857720836160222,0.0001685772083614307,0.0001685772083614304,5.904878664663029e-16,6.664032538903059e-16,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.9999999999999998,-3.428503124735127e-17,5.286473535262144e-17,5.551115123125783e-17,-3.123426287686878e-17,0.9993256911665538,-8.093807996474783e-16,2.2174860204319487e-17,-5.197847336266857e-17,-8.075043025960668e-16,-0.9993256911665538,1.5249326262960683e-16,5.551115123125783e-17,-2.2458445618186407e-17,1.5127898732343552e-16,0.999325691166554
step4,0.0,0.05,2,0.9999999146588838,0.9999998293177778,0.9989888777691328,0.0005838700363280172,0.0433011716457894,2.8447038519121025e-08,2.8447038612108295e-08,2.8447038678830976e-08,0.9999999146588839,2.8447038519121025e-08,0.9999999146588838,2.84470386638148e-08,2.8447038612086425e-08,2.8447038612082716e-08,1.1673072592485415e-15,1.189737988493709e-15,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.9999999999999999,-6.405758417847413e-17,1.0513706127302885e-16,1.1102230246251565e-16,-6.401807979427617e-17,0.9999998862118453,-1.6114645914356339e-15,4.487244671170666e-17,-1.0512539551490133e-16,-1.6114395222036272e-15,-0.9999998862118453,3.039721247966515e-16,1.1102230246251565e-16,-4.487628082359633e-17,3.0395564795454137e-16,0.9999998862118454
step4,0.0,0.05,3,0.9999999999999973,0.9999999999999951,0.9999998293177776,9.854342977583637e-08,0.000583968579757793,7.507923739761179e-16,8.092341491150931e-16,8.355978923765851e-16,0.9999999999999976,7.507923739761179e-16,0.9999999999999973,8.318502206083084e-16,8.092341461107588e-16,8.092341455019804e-16,1.7267779450822508e-15,1.7514863508758017e-15,0.0,1.1102230246251565e-16,0.0,0.0,1.0,-9.52741551364121e-17,1.578085153668835e-16,1.6653345369377348e-16,-9.527414864750092e-17,0.9999999999999968,-2.3869799137976908e-15,6.742010885415989e-17,-1.5780851344942261e-16,-2.386979909674721e-15,-0.9999999999999968,4.559391118736857e-16,1.6653345369377348e-16,-6.742010948502443e-17,4.55939109162201e-16,0.9999999999999967
step4,0.0,0.05,4,0.9999999999999998,1.0,0.9999999999999951,2.8509134773655412e-15,9.854343256662783e-08,-3.9252311467093905e-17,9.415136119843301e-31,3.9252311467094854e-17,1.0,-3.9252311467093905e-17,0.9999999999999997,-1.6258839764163445e-17,9.820596323865947e-31,7.189216944962199e-31,2.307638878069003e-15,2.330601509211064e-15,0.0,0.0,0.0,0.0,1.0,-1.2651046117564237e-16,2.1048578896778883e-16,2.220446049250313e-16,-1.2651046117564298e-16,1.0,-3.191891195797341e-15,8.996584998607868e-17,-2.1048578896778812e-16,-3.191891195797341e-15,-1.0,6.07914300052819e-16,2.220446049250313e-16,-8.996584998607677e-17,6.079143000528194e-16,1.0
step4,0.0,0.1,0,0.9249999999999998,0.8574999999999999,nan,nan,nan,0.024999999999999935,0.024999999999999994,0.025000000000000026,0.925,0.024999999999999935,0.9249999999999998,0.024999999999999956,0.024999999999999988,0.024999999999999988,2.924295323337349e-18,1.7554167342883506e-16,0.0,1.1102230246251565e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.8999999999999999
step4,0.0,0.1,1,0.9978134110787169,0.9956331970522483,0.8575,0.08407768497382437,nan,0.0007288629737609402,0.0007288629737609522,0.0007288629737610289,0.997813411078717,0.0007288629737609402,0.9978134110787169,0.0007288629737609981,0.0007288629737609342,0.0007288629737609336,5.678414268318147e-16,6.231496024305872e-16,0.0,1.1102230246251565e-16,0.0,0.0,1.0,-3.767572291884941e-17,5.3026322753092005e-17,5.551115123125783e-17,-3.113336153453288e-17,0.9970845481049561,-7.796393439537641e-16,2.1799028060921106e-17,-5.115893448570626e-17,-7.757501386275278e-16,-0.9970845481049561,1.5280568162246122e-16,-5.551115123125783e-17,-2.2378810593773635e-17,1.5033358140619908e-16,0.9970845481049562
step4,0.0,0.1,2,0.9999983992862949,0.9999967985760065,0.9956331970522484,0.002523007059642604,0.08660069203346697,5.335712349613681e-07,5.335712349964986e-07,5.335712350766429e-07,0.9999983992862951,5.335712349613681e-07,0.9999983992862949,5.33571235105724e-07,5.335712349612956e-07,5.33571234961279e-07,1.1498222991675916e-15,1.189764452319986e-15,0.0,2.220446049250313e-16,0.0,0.0,1.0,-6.591523520171224e-17,1.049349811503962e-16,0.0,-6.57388051080814e-17,0.99999786571506,-1.5890855417893793e-15,4.4677341766220017e-17,-1.0488299104929175e-16,-1.5889740283450867e-15,-0.99999786571506,3.0402445951634227e-16,0.0,-4.4694371080269274e-17,3.039513104003528e-16,0.9999978657150602
step4,0.0,0.1,3,0.9999999999991459,0.9999999999982923,0.9999967985760064,1.848343990897289e-06,0.0025248554036335015,2.8455684209509487e-13,2.8469917430037965e-13,2.8472024899232813e-13,0.9999999999991462,2.8455684209509487e-13,0.9999999999991459,2.8456470967393087e-13,2.846991742399213e-13,2.846991742284889e-13,1.745259251836722e-15,1.7591210117595693e-15,0.0,3.3306690738754696e-16,0.0,0.0,1.0,-9.706359341709817e-17,1.5758649303863978e-16,0.0,-9.70634715603839e-17,0.9999999999988616,-2.4147428878693432e-15,6.723167692182973e-17,-1.5758645703039227e-16,-2.41474281044388e-15,-0.9999999999988616,4.559637491250727e-16,0.0,-6.723168876884793e-17,4.5596369820617235e-16,0.9999999999988612
step4,0.0,0.1,4,0.9999999999999998,1.0,0.9999999999982923,9.85973150864962e-13,1.8483449768702665e-06,-5.551115123125785e-17,-5.551115123125783e-17,8.108225915626856e-26,1.0,-5.551115123125785e-17,0.9999999999999998,-2.7755575615628907e-17,8.106020400953907e-26,8.105386745727657e-26,2.3149317331300202e-15,2.332890697515398e-15,0.0,0.0,0.0,0.0,1.0,-1.282998417726027e-16,2.1026374959433519e-16,5.551115123125783e-17,-1.282998417725386e-16,1.0,-3.205768983610653e-15,8.977742366189337e-17,-2.1026374959431551e-16,-3.205768983610612e-15,-1.0,6.079389132010297e-16,5.551115123125783e-17,-8.977742366189769e-17,6.07938913201003e-16,1.0
