circuit,q,F_star,purity_star,Q_star,eig_min_star,residual,solver_ok,spectral_radius,coherence_factor,delta_iso_star,bell_offdiag_star,XX,YY,ZZ,iter_spread_over_eps,n_converged,n_runs,iter_F_mean,iter_F_min,iter_F_max,max_herm_err,min_eig_seen,min_Q_seen,cycle2,mean_n_iter
step3,0.0,0.9999999999999998,1.0,0.9999999999999991,-2.645389091114629e-58,3.178464055023794e-33,True,1.0000000000842677,1.0,3.065703529144609e-16,2.2371143170757382e-17,1.0,-1.0,1.0,1.1102230246251565e-16,5,5,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.9457526447707331e-32,-1.7677325328133014e-33,0.43749999999999967,2.2923024526388554e-26,4.8
step3,1e-05,0.999978749614045,0.9999574998343621,0.9998275137336952,6.250132818448266e-06,1.7384934746739783e-16,True,1.0000225006551173,1.0000300011750556,2.041231245535361e-06,1.601450873070463e-16,0.9999699994937274,-0.9999699994937272,0.9999749994687259,5.194406492752885e-16,5,5,0.9999787496140451,0.9999787496140449,0.9999787496140452,1.626265299140826e-16,6.250132818405494e-06,0.4374487528311515,2.1427976165798885e-16,5.4
step3,3e-05,0.9999362465260924,0.9998724985090246,0.9994826235910284,1.8751195475064077e-05,1.0300971848231535e-16,True,1.0000675050719783,1.000090010576508,6.123632486496573e-06,2.0039263058054104e-16,0.9999099954431352,-0.9999099954431354,0.9999249952180995,4.371537572645383e-16,5,5,0.9999362465260925,0.9999362465260923,0.9999362465260926,1.6342726643215402e-16,1.875119547507069e-05,0.43734627547859717,1.9832745834169356e-16,5.4
step3,0.0001,0.9997874613888353,0.9995749834245111,0.9982763727581858,6.251328727624461e-05,8.973405014357848e-17,True,1.000225055114434,1.0003001175558723,2.0411393360070677e-05,3.0856720705279955e-16,0.9996999493522236,-0.9996999493522236,0.999749946850895,6.606042599838564e-16,5,5,0.9997874613888353,0.9997874613888351,0.9997874613888356,2.423645219035268e-16,6.251328727621978e-05,0.4369877830267736,2.1216891940571036e-16,5.6
step3,0.0003,0.9993621521856256,0.9987248505865707,0.9948373426086572,0.0001876196941096309,1.325133596690377e-16,False,1.0006754953273425,1.000901059010078,6.122804332294345e-05,1.2537179284570778e-17,0.999099543759471,-0.9990995437594712,0.9992495212235613,7.5274659702878555e-16,5,5,0.9993621521856257,0.9993621521856254,0.9993621521856261,1.8196806347187506e-16,0.00018761969410962867,0.4359650454741942,3.271707788784677e-16,6.0
step3,0.001,0.9978711231375599,0.9957483307221688,0.9828866665352007,0.0006263341765525007,9.22115650008735e-17,True,1.0022555149147296,1.0030118061283126,0.00020402153837844583,1.5925805006361498e-16,0.9969949146282251,-0.9969949146282251,0.99749466329379,2.7072876565143032e-15,5,5,0.9978711231375594,0.9978711231375579,0.9978711231375601,2.5332018502611845e-16,0.0006263341765525,0.43240321448974905,8.013533491236263e-16,6.6
step3,0.003,0.9935897890102949,0.987234739618184,0.9494679339188588,0.0018871180591164118,1.1660736656216759e-16,True,1.006799902947275,1.0091072810779134,0.0006114390268927083,1.404388326450089e-16,0.990953814138823,-0.9909538141388232,0.9924515277635342,4.459371460411161e-15,5,5,0.9935897890102938,0.9935897890102912,0.9935897890102949,1.809873201870726e-16,0.001887118059116432,0.422377179099109,1.426149884883012e-15,7.6
step3,0.01,0.9783458040773123,0.9573209365488394,0.8405776206628364,0.006389130971256254,1.3437862546884854e-16,True,1.0230653033904682,1.0312338322156005,0.0020304661542226805,9.496497865943974e-17,0.9694698700971378,-0.9694698700971378,0.9744434761149747,1.6687981447197374e-14,5,5,0.9783458040773043,0.9783458040772968,0.978345804077311,2.4383682179588944e-16,0.006389130971256625,0.38898535864638395,9.159274966419805e-15,9.2
step3,0.02,0.9558025617835646,0.9142259712645163,0.704856752283728,0.013084434897958405,1.9830480901010547e-16,True,1.0473270091737596,1.0651974028446416,0.00403686811682011,2.3452893762355633e-14,0.9377739933630465,-0.9377739933630469,0.9476622604081659,7.450053970381806e-14,5,5,0.9558025617835373,0.9558025617835099,0.9558025617835741,1.6459085577247614e-16,0.012993944872950301,0.34557606574843025,3.6061924599140035e-14,10.8
step3,0.05,0.8812367923577955,0.781377115183547,0.4088235583592008,0.03556147868573209,2.2604033765368066e-16,True,1.1285007016498247,1.1887691929784001,0.009862275700965867,1.633985713461088e-16,0.8335965420870557,-0.8335965420870557,0.8577540852570713,3.328625994980489e-13,5,5,0.8812367923577916,0.8812367923576856,0.8812367923579735,1.229592385932521e-16,0.03198545146770057,0.24112329339375616,1.3426615682543853e-13,16.6
step4,0.0,0.9999999999999998,1.0,1.0,-2.164929435350228e-31,5.264455355115902e-16,False,1.000000000112021,1.0,4.592613958104893e-15,4.585764163120699e-15,1.0,-1.0,1.0,1.2611891763567238e-15,5,5,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.2869730969111293e-16,-1.2135518488079512e-16,0.4375,1.1223268361850298e-15,4.8
step4,1e-05,0.9999824998562445,0.9999650001249961,0.9998500103995558,5.000050001812191e-06,6.487325717495874e-16,True,1.0000175002244935,1.00002500065002,2.0412363490730728e-06,3.542670086987449e-12,0.999974999812493,-0.999974999812493,0.9999799997999927,7.643098295630227e-16,5,5,0.9999824998562448,0.9999824998562445,0.9999824998562448,2.657366254324601e-16,5.000050001716035e-06,0.4374525023624291,1.3191009895181499e-15,5.2
step4,3e-05,0.9999474987061114,0.9998950011249037,0.9995500935879982,1.5000450047985932e-05,6.658053799884339e-16,True,1.0000525026421252,1.00007500585053,6.1236784243593275e-06,1.4685826092529436e-12,0.9999249983123192,-0.9999249983123194,0.9999399981998078,8.912571423034501e-16,5,5,0.9999474987061114,0.9999474987061113,0.9999474987061117,2.0024440109417295e-16,1.5000450048001076e-05,0.43735752126057637,1.3251310804413297e-15,5.4
step4,0.0001,0.9998249856198735,0.9996500124964376,0.9985010395555693,5.0005001781759595e-05,6.294529967463132e-16,True,1.0001750311988697,1.0002500650196307,2.0411904034059115e-05,5.732935277134836e-15,0.9997499812433109,-0.9997499812433109,0.999799979992873,8.262572518585831e-16,5,5,0.9998249856198733,0.9998249856198731,0.9998249856198734,3.274877474613436e-16,5.000500178172956e-05,0.43702523617876465,1.3098952185719102e-15,5.6
step4,0.0003,0.9994748704864894,0.9989501124037574,0.9955093480074348,0.00015004504814108865,6.517417947821829e-16,True,1.0005252813471988,1.0007505855303986,6.123264594837222e-05,1.1764049652041828e-13,0.9992498310692616,-0.9992498310692614,0.9993998198074354,1.401160240161128e-15,5,5,0.9994748704864891,0.9994748704864889,0.9994748704864894,2.6598838795084718e-16,0.0001500450481410411,0.43607712432742674,1.3400763558762617e-15,6.0
step4,0.001,0.998248557358224,0.9965012464306475,0.9851035567468347,0.0005005017871228232,6.405378171015167e-16,True,1.0017531307943142,1.0025065196898182,0.00020407293489888963,1.2822486948162697e-14,0.997498118290694,-0.997498118290694,0.9979979928515086,1.1568517871180922e-15,5,5,0.9982485573582238,0.9982485573582232,0.998248557358224,3.2929769340530853e-16,0.0005005017871227696,0.4327735538951012,1.3983863100197534e-15,6.4
step4,0.003,0.9947369227561771,0.9895111532535279,0.9559241024112853,0.0015045485729286755,5.602936189890966e-16,True,1.0052782812852705,1.0075590351619799,0.0006119082778316479,5.07273004681291e-15,0.9924829426582124,-0.9924829426582121,0.993981805708285,5.100849458458381e-15,5,5,0.9947369227561753,0.9947369227561726,0.9947369227561769,2.645940532404624e-16,0.001504548572928799,0.42346071296908216,2.6540986490503816e-15,7.0
step4,0.01,0.9823509515358249,0.9651213667237493,0.8599682796570945,0.005051841967391438,6.80980007700724e-16,True,1.017818374818291,1.0256702941160343,0.0020359526463397557,5.7571983855589585e-15,0.9748055870064328,-0.9748055870064328,0.9797926321304342,1.4648623745280115e-14,5,5,0.9823509515358209,0.9823509515358118,0.9823509515358243,2.0321916698785196e-16,0.005051841967391543,0.39229268219897545,4.9324173761803665e-15,8.6
step4,0.02,0.9643811148767123,0.930470324245589,0.7382446451626421,0.010215259704181712,6.215781935829796e-16,True,1.0362980538275448,1.0527681056199791,0.004060524054362053,6.011846158821172e-15,0.9491927491617885,-0.9491927491617885,0.9591389611832728,2.5355260464512916e-14,5,5,0.9643811148767016,0.964381114876689,0.9643811148767105,2.0955029266329815e-16,0.010215259704182666,0.3514025874221617,1.2492552018790654e-14,9.6
step4,0.05,0.9081375085603514,0.8276276658943909,0.4618111709886519,0.026517464740333146,5.644286672045027e-16,True,1.096119112531378,1.1441921404306592,0.010051152289914746,5.752517466640866e-15,0.8693099466013695,-0.8693099466013695,0.8939301410386673,1.2043275394203869e-13,5,5,0.9081375085603396,0.9081375085602861,0.9081375085603893,1.7395032186545001e-16,0.0251456983046048,0.25100175124633906,3.863728816291868e-14,13.6
step5,0.0,0.9999999999999973,0.9999999999999987,0.9999999999999998,-1.1777408929290807e-16,7.440045623991924e-09,False,1.0000000059458394,1.0000000000000016,5.942722891412581e-08,5.942722892089933e-08,0.999999999999998,-0.9999999999999962,0.999999999999996,1.7678647379154256e-09,0,5,0.999999999972324,0.9999999999723224,0.999999999972327,5.709463040809857e-16,-2.891232610311671e-16,0.43750000000000044,1.4880018761899135e-08,1000.0
step5,1e-05,0.9999875000074246,0.9999750002244971,0.9998550098241099,3.383085584563439e-06,7.442308492111379e-09,False,1.0000114373361275,1.000017500218912,1.1464949281415229e-06,5.996295949682807e-07,0.9999844223989623,-0.9999837988936585,0.9999817787370784,1.7803349650166934e-09,0,5,0.9999874999797281,0.9999874999797265,0.9999874999797314,9.351427837771038e-16,3.3830799418571387e-06,0.4374475028874161,1.4887978597446798e-08,1000.0
step5,3e-05,0.9999625000669001,0.9999250020205956,0.9995650884095453,1.0149227833431854e-05,7.461289528226027e-09,False,1.0000343099663904,1.0000525019702124,3.435388808038176e-06,1.7910564757546374e-06,0.9999532671558905,-0.9999513968582093,0.9999453362535011,1.8005132156218981e-09,0,5,0.9999625000390482,0.9999625000390464,0.9999625000390515,8.984723349076324e-16,1.0149210803534268e-05,0.4373425259849375,1.4933037830955323e-08,1000.0
step5,0.0001,0.9998750007433399,0.999750022450866,0.9985509820392771,3.3830422076456915e-05,7.680396539126964e-09,False,1.0001143720178054,1.0001750218928356,1.1449894364666487e-05,5.967635250767684e-06,0.999844223374218,-0.9998379915948263,0.9998177880043164,1.831335073964356e-09,0,5,0.9998750007137845,0.9998750007137833,0.9998750007137869,8.879539133303053e-16,3.3830363020180105e-05,0.4369752886538909,1.539692479543866e-08,1000.0
step5,0.0003,0.9996250066840947,0.9992502020414713,0.995658830929476,0.00010148837528428779,9.667380722435221e-09,False,1.0003431840686776,1.000525197078719,3.4350626688704465e-05,1.7905878563669192e-05,0.9995326660087117,-0.999513992501098,0.99945336822657,2.2671072121081945e-09,0,5,0.999625006637164,0.9996250066371579,0.999625006637167,9.611983329552059e-16,0.00010148815260193935,0.4359275961533595,1.9450158528089755e-08,1000.0
step5,0.001,0.9987500740129338,0.9975022442268577,0.9855978334890292,0.00033826088720896347,3.3877753399176305e-08,False,1.001144776907716,1.001752191454421,0.00011451794240866234,5.9730122452066606e-05,0.9984421716300025,-0.9983801815249158,0.9981779428968174,2.0910930848564785e-08,0,5,0.9987500733801866,0.9987500733797254,0.9987500733804178,9.199004373997761e-16,0.00033825907341498784,0.4322787789673931,7.858978677614879e-08,1000.0
step5,0.003,0.9962506594804792,0.992520180493879,0.9573731550248992,0.0010144946200127028,2.5181814129442645e-07,False,1.0034414893679635,1.0052697667167634,0.00034369629779332044,0.00017957587633318548,0.9953260896298717,-0.9951423103019066,0.9945342379901394,6.53602596526214e-07,0,5,0.9962505134386509,0.9962505132174011,0.9962505135567807,9.052331304207338e-16,0.0010144839012779315,0.42200729371110934,3.2356274435462474e-06,1000.0
