circuit,q,eps,n,F,purity,Q,diff,diff2,eig0,eig1,eig2,eig3,eig_min,p_Phi_plus,p_Phi_minus,p_Psi_plus,p_Psi_minus,bell_offdiag,delta_iso,iso_XXplusYY,iso_XXminusZZ,herm_err,trace_err,P_II,P_IX,P_IY,P_IZ,P_XI,P_XX,P_XY,P_XZ,P_YI,P_YX,P_YY,P_YZ,P_ZI,P_ZX,P_ZY,P_ZZ
step5,0.0,0.05,0,0.9624999999999998,0.926875,nan,nan,nan,0.0124999999999999,0.012500000000000011,0.012500000000000067,0.9624999999999999,0.0124999999999999,0.9624999999999998,0.01250000000000003,0.01250000000000001,0.01250000000000001,8.494454310017238e-17,1.9229626863835638e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,0.95
step5,0.0,0.05,1,0.9994942683749148,0.9989888777691323,0.9268750000000008,0.04271730160946157,nan,0.00016857706467785324,0.00016857720836171042,0.00016857735204551985,0.9994942683749151,0.00016857706467785324,0.9994942683749148,0.00016857720836161385,0.000168577208361922,0.00016857720836152142,7.394144340664083e-09,7.394144333581071e-09,8.881784197001252e-16,7.771561172376096e-16,0.0,0.0,1.0,1.9566582357919272e-10,-1.1336064353010513e-09,1.3419786948354329e-09,2.3688328598205795e-10,0.9993256911665539,3.738888464286032e-09,-5.504899424091777e-09,1.5396657934282703e-09,3.7388879588020226e-09,-0.999325691166553,-7.795044626770646e-09,1.746623679022008e-09,5.504898598861443e-09,-7.795045245117863e-09,0.9993256911665531
step5,0.0,0.05,2,0.9999999146588834,0.999999829317777,0.9989888777691331,0.000583870036375377,0.04330117164579136,2.844514700702963e-08,2.84470387771162e-08,2.8448930600224523e-08,0.9999999146588836,2.844514700702963e-08,0.9999999146588834,2.8447038653615338e-08,2.844703915600009e-08,2.8447038724734567e-08,1.4835419292133198e-08,1.4835419292496029e-08,8.881784197001252e-16,9.992007221626409e-16,0.0,0.0,1.0,3.673634064047984e-10,-2.7918612235164056e-09,3.057597841582549e-09,3.6790583103239053e-10,0.9999998862118453,7.552988217810207e-09,-1.1007520581057815e-08,2.7972077108680086e-09,7.552987578835488e-09,-0.9999998862118444,-1.564149613205441e-08,3.0629254688108176e-09,1.100751983563023e-08,-1.564149669304901e-08,0.9999998862118443
step5,0.0,0.05,3,0.9999999999999964,0.9999999999999938,0.9999998293177779,9.882389267640616e-08,0.0005839685799468734,6.595060056712331e-16,9.533052333035432e-16,1.6238768888045934e-15,0.9999999999999969,6.595060056712331e-16,0.9999999999999963,9.43502824392919e-16,1.4256511299489392e-15,9.612976933030954e-16,2.22753342738664e-08,2.227533427888433e-08,8.881784197001252e-16,8.881784197001252e-16,0.0,1.1102230246251565e-16,0.9999999999999999,5.179937146666002e-10,-4.253131766924152e-09,4.574780887445229e-09,5.17993460356444e-10,0.9999999999999961,1.1365501863407345e-08,-1.6506300247094323e-08,4.253132633186016e-09,1.1365501018322147e-08,-0.9999999999999952,-2.3483236330625793e-08,4.574781553579044e-09,1.650629964444549e-08,-2.3483236795920817e-08,0.9999999999999952
step5,0.0,0.05,4,0.9999999999999986,0.9999999999999984,0.9999999999999947,7.4400457895508656e-09,9.966054943057492e-08,-2.0547155443634823e-17,1.750051138678588e-16,6.761963321228863e-16,0.9999999999999991,-2.0547155443634823e-17,0.9999999999999986,2.890158179743339e-16,7.238551096939562e-16,2.086266376197444e-16,2.9715314069840238e-08,2.9715314067832284e-08,1.1102230246251565e-15,9.992007221626409e-16,0.0,0.0,1.0,6.683526096592077e-10,-5.711729954633041e-09,6.0893003417383795e-09,6.68352169311794e-10,0.999999999999999,1.517801481555789e-08,-2.200507848705951e-08,5.7117298630516635e-09,1.5178013670505997e-08,-0.9999999999999979,-3.132497488331874e-08,6.089300230716077e-09,2.200507809456556e-08,-3.132497521752043e-08,0.999999999999998
step5,0.0,0.05,5,0.9999999999999983,0.9999999999999984,0.9999999999999993,7.440045775626476e-09,1.4880091565177097e-08,-5.056699009845776e-17,1.3734747247008202e-16,7.631465927145828e-16,0.9999999999999992,-5.056699009845776e-17,0.9999999999999983,3.3236325819024747e-16,8.621053440438416e-16,2.8138373301397356e-16,3.715532027447081e-08,3.7155320274954816e-08,1.1102230246251565e-15,9.992007221626409e-16,0.0,0.0,1.0,8.187114932535956e-10,-7.1703277381018755e-09,7.603819573986925e-09,8.187109282917734e-10,0.9999999999999988,1.899052777849812e-08,-2.7503856578810945e-08,7.170327544854541e-09,1.8990526247572082e-08,-0.9999999999999977,-3.916671347905149e-08,7.603819573986925e-09,2.7503856456818133e-08,-3.916671364467526e-08,0.9999999999999978
step5,0.0,0.05,6,0.999999999999998,0.9999999999999986,0.9999999999999996,7.440045740232032e-09,1.4880091515858507e-08,-5.419217435505364e-17,1.4333774919773772e-16,8.302345272869642e-16,0.9999999999999993,-5.419217435505364e-17,0.999999999999998,2.8094723526287716e-16,1.0311133232386198e-15,3.703228631972783e-16,4.4595339648076365e-08,4.459533964938483e-08,1.3322676295501878e-15,1.5543122344752192e-15,0.0,0.0,1.0,9.690704100501282e-10,-8.62892555672251e-09,9.11833875072432e-09,9.690696926960359e-10,0.9999999999999987,2.2803040756583515e-08,-3.300263452239733e-08,8.628925239202796e-09,2.2803038753981985e-08,-0.9999999999999973,-4.700845211783689e-08,9.118338972768925e-09,3.300263473115456e-08,-4.700845207737259e-08,0.9999999999999971
step5,0.0,0.05,7,0.9999999999999979,0.9999999999999989,0.9999999999999994,7.440045682237533e-09,1.4880091422469563e-08,-2.6637963063570545e-17,1.3345001322393137e-16,7.015457485114756e-16,0.9999999999999993,-2.6637963063570545e-17,0.9999999999999979,4.075614023043913e-16,1.230879038632511e-15,4.754440252819128e-16,5.2035366505283085e-08,5.203536650526739e-08,1.5543122344752192e-15,1.6653345369377348e-15,0.0,0.0,1.0,1.1194293600488138e-09,-1.0087523410494968e-08,1.0632857816439412e-08,1.119428462524603e-09,0.9999999999999984,2.6615553749814014e-08,-3.850141231781868e-08,1.0087522946096416e-08,2.661555118973566e-08,-0.9999999999999969,-5.485019079967496e-08,1.0632858038484017e-08,3.8501412917574864e-08,-5.4850190515612426e-08,0.9999999999999968
step5,0.0,0.05,8,0.9999999999999972,0.9999999999999986,0.9999999999999998,7.4400456637931205e-09,1.4880091346030648e-08,-2.1175559430293166e-17,1.3702628584051602e-16,7.70314717969983e-16,0.9999999999999993,-2.1175559430293166e-17,0.9999999999999973,4.786644179604358e-16,1.4614024905156726e-15,5.967472183464361e-16,5.947539804521017e-08,5.9475398052861364e-08,1.7763568394002505e-15,1.887379141862766e-15,0.0,0.0,1.0,1.269788343249649e-09,-1.1546121299419214e-08,1.2147376937665655e-08,1.2697872377774535e-09,0.9999999999999979,3.042806675818958e-08,-4.400018996507498e-08,1.1546120665535424e-08,3.042806355483308e-08,-0.9999999999999961,-6.269192952456567e-08,1.2147377381754865e-08,4.400019101607902e-08,-6.269192895939473e-08,0.999999999999996
step5,0.0,0.05,9,0.9999999999999967,0.9999999999999984,0.9999999999999996,7.440045628398674e-09,1.4880091292191795e-08,-5.273433387351471e-17,1.5402512456740394e-16,6.460967724866041e-16,0.9999999999999992,-5.273433387351471e-17,0.9999999999999967,5.22011858172166e-16,1.7226836791782652e-15,7.342324414694089e-16,6.691543270526392e-08,6.691543270406221e-08,1.9984014443252818e-15,2.55351295663786e-15,0.0,0.0,1.0,1.4201473596526174e-09,-1.300471922349529e-08,1.3661896003380747e-08,1.4201460184546136e-09,0.9999999999999974,3.424057978171026e-08,-4.949896746416627e-08,1.3004718397519814e-08,3.424057584927428e-08,-0.9999999999999954,-7.053366829250907e-08,1.3661896780536864e-08,4.9498969026667044e-08,-7.053366740871955e-08,0.9999999999999949
step5,0.0,0.05,10,0.9999999999999962,0.9999999999999984,0.9999999999999993,7.440045561831358e-09,1.4880091190230032e-08,-6.116105401522745e-18,1.7584507167925784e-16,8.274587753311088e-16,0.9999999999999993,-6.116105401522745e-18,0.9999999999999963,6.763816005911726e-16,2.0147226049104466e-15,8.878996937293911e-16,7.435546949075706e-08,7.435546948540132e-08,2.220446049250313e-15,2.6645352591003757e-15,0.0,0.0,1.0,1.5705064092577552e-09,-1.4463317182723198e-08,1.5176415013584688e-08,1.5705048045560502e-09,0.9999999999999969,3.805309276486488e-08,-5.4997744815092524e-08,1.4463316142049566e-08,3.8053088017548106e-08,-0.9999999999999947,-7.837540710350512e-08,1.5176415901763107e-08,5.4997746949338936e-08,-7.837540586358686e-08,0.9999999999999942
step5,0.0,0.05,11,0.999999999999996,0.9999999999999991,0.9999999999999992,7.440045539198343e-09,1.4880091101029695e-08,-7.702891084919469e-17,1.0959152486563943e-16,7.202840245597799e-16,0.9999999999999996,-7.702891084919469e-17,0.9999999999999959,5.742165304208629e-16,2.3375192680023757e-15,1.0577489742049419e-15,8.179550784076591e-08,8.179550784141254e-08,2.6645352591003757e-15,3.552713678800501e-15,0.0,0.0,1.0,1.7208654920649998e-09,-1.5921915177102888e-08,1.6690933968277477e-08,1.72086359608178e-09,0.9999999999999969,4.1865605790920167e-08,-6.049652201785376e-08,1.5921913899124723e-08,4.186560014292128e-08,-0.9999999999999942,-8.621714595755384e-08,1.6690935189522804e-08,6.04965247840947e-08,-8.621714432399668e-08,0.9999999999999933
step5,0.0,0.05,12,0.9999999999999952,0.9999999999999987,0.9999999999999998,7.4400454931367695e-09,1.4880091032335103e-08,-4.2024881506466765e-17,1.1836456498465203e-16,6.903206566097047e-16,0.9999999999999994,-4.2024881506466765e-17,0.9999999999999952,7.40083009033444e-16,2.691073668744211e-15,1.2437802819746216e-15,8.923554735382524e-08,8.923554734914647e-08,2.886579864025407e-15,3.885780586188048e-15,0.0,0.0,1.0,1.8712246080744006e-09,-1.738051320663441e-08,1.8205452978481418e-08,1.8712223930317995e-09,0.9999999999999961,4.567811879048714e-08,-6.599529907244995e-08,1.7380511668745252e-08,4.567811215600482e-08,-0.9999999999999932,-9.40588848546552e-08,1.820545442177135e-08,6.599530253093432e-08,-9.405888278994897e-08,0.9999999999999922
step5,0.0,0.05,13,0.9999999999999944,0.9999999999999984,0.9999999999999998,7.440045474059461e-09,1.488009096719623e-08,-5.540838436913248e-17,1.4687603443771415e-16,7.862149881355641e-16,0.9999999999999993,-5.540838436913248e-17,0.9999999999999943,8.666971756713605e-16,3.075385807426112e-15,1.4459936161169902e-15,9.667558776172016e-08,9.667558775903767e-08,3.3306690738754696e-15,4.440892098500626e-15,0.0,0.0,1.0,2.0215837572859478e-09,-1.8839111271317782e-08,1.971997204419651e-08,2.0215811954061056e-09,0.9999999999999953,4.9490631846832585e-08,-7.149407597888109e-08,1.8839109450911166e-08,4.949062414006553e-08,-0.999999999999992,-1.019006237948092e-07,1.9719973709531047e-08,7.149408018985777e-08,-1.0190062126144374e-07,0.9999999999999909
step5,0.0,0.05,14,0.9999999999999938,0.9999999999999987,0.9999999999999994,7.440045451426453e-09,1.4880090925485912e-08,-3.2179639519376574e-17,1.1649183012875846e-16,6.908309400405311e-16,0.9999999999999993,-3.2179639519376574e-17,0.9999999999999938,1.0048080779965379e-15,3.490455684338236e-15,1.6643889757106077e-15,1.0411562886389486e-07,1.041156288700411e-07,3.552713678800501e-15,4.884981308350689e-15,0.0,0.0,1.0,2.1719429396996314e-09,-2.0297709371152934e-08,2.123449105440045e-08,2.1719400032047047e-09,0.9999999999999947,5.330314494607871e-08,-7.69928527371472e-08,2.029770724562246e-08,5.3303136081225604e-08,-0.9999999999999911,-1.0974236277801588e-07,2.1234493163824197e-08,7.699285776086512e-08,-1.0974235973848105e-07,0.9999999999999898
step5,0.0,0.05,15,0.999999999999993,0.9999999999999987,0.9999999999999997,7.4400454032705526e-09,1.4880090854697004e-08,-2.66379610099207e-17,1.3345000514495524e-16,7.015457431109147e-16,0.9999999999999994,-2.66379610099207e-17,0.9999999999999931,1.0759110943857832e-15,3.936283299770745e-15,1.8989663598340336e-15,1.1155567050933827e-07,1.115556705118186e-07,3.9968028886505635e-15,5.662137425588298e-15,0.0,0.0,1.0,2.3223021553154514e-09,-2.1756307506139887e-08,2.274901000909324e-08,2.322298816427597e-09,0.9999999999999941,5.711565803271432e-08,-8.249162934724828e-08,2.1756305052879116e-08,5.711564792397385e-08,-0.9999999999999901,-1.1758410180427517e-07,2.2749012562606197e-08,8.249163524395632e-08,-1.1758409822106084e-07,0.9999999999999885
step5,0.0,0.05,16,0.999999999999992,0.9999999999999984,0.9999999999999998,7.4400453444475935e-09,1.4880090747718141e-08,-9.623444033319371e-17,1.723103782713258e-16,6.07317667861278e-16,0.9999999999999992,-9.623444033319371e-17,0.999999999999992,1.2695331484260335e-15,4.412868654013791e-15,2.149725767565827e-15,1.1899571255947437e-07,1.1899571256512123e-07,4.440892098500626e-15,6.217248937900877e-15,0.0,0.0,1.0,2.4726614041334278e-09,-2.3214905676278668e-08,2.426352896378603e-08,2.472657635074776e-09,0.9999999999999931,6.092817106510609e-08,-8.799040580918431e-08,2.3214902872681146e-08,6.092815962667695e-08,-0.9999999999999887,-1.2542584087358714e-07,2.4263531850365894e-08,8.799041263913135e-08,-1.2542583670918311e-07,0.9999999999999869
step5,0.0,0.05,17,0.9999999999999912,0.9999999999999987,0.9999999999999993,7.4400453253702815e-09,1.4880090669817873e-08,-6.155276934558371e-17,1.3645408079029928e-16,7.750257494660359e-16,0.9999999999999994,-6.155276934558371e-17,0.9999999999999912,1.4076440515553728e-15,4.920211747357542e-15,2.416667197984552e-15,1.2643575499150772e-07,1.2643575498665883e-07,5.10702591327572e-15,6.994405055138486e-15,0.0,0.0,1.0,2.623020686153534e-09,-2.4673503881569257e-08,2.577804797398997e-08,2.623016459146261e-09,0.9999999999999926,6.474068415427633e-08,-9.348918212295533e-08,2.4673500705028588e-08,6.474067130035723e-08,-0.9999999999999875,-1.3326757998595173e-07,2.5778051193636742e-08,9.348918994639028e-08,-1.332675752028479e-07,0.9999999999999856
step5,0.0,0.05,18,0.9999999999999902,0.9999999999999987,0.9999999999999998,7.440045292070123e-09,1.4880090617440402e-08,-1.52687304060761e-16,7.1780333956376e-17,6.128306820873678e-16,0.9999999999999992,-1.52687304060761e-16,0.9999999999999901,1.4787470670618648e-15,5.4583125800921505e-15,2.6997906501687657e-15,1.3387579769484064e-07,1.338757976976449e-07,5.551115123125783e-15,7.993605777301127e-15,0.0,0.0,1.0,2.773380001375803e-09,-2.6132102122011666e-08,2.729256698419391e-08,2.7733752886420326e-09,0.9999999999999917,6.855319724471382e-08,-9.89879582885613e-08,2.6132098549921348e-08,6.855318288950343e-08,-0.9999999999999861,-1.4110931914136897e-07,2.7292570647929892e-08,9.898796716573305e-08,-1.4110931370205513e-07,0.9999999999999837
step5,0.0,0.05,19,0.999999999999989,0.9999999999999984,0.9999999999999998,7.440045249564277e-09,1.4880090541634398e-08,-6.40732826299697e-17,1.4350372943459076e-16,6.402015263379792e-16,0.9999999999999992,-6.40732826299697e-17,0.999999999999989,1.6446135452667092e-15,6.027171152507773e-15,2.9990961231970253e-15,1.4131584063709426e-07,1.4131584063789172e-07,5.995204332975845e-15,8.770761894538737e-15,0.0,0.0,1.0,2.9237393498002085e-09,-2.7590700397605877e-08,2.8807085994397852e-08,2.923734123562071e-09,0.9999999999999906,7.236571032254082e-08,-1.0448673430600221e-07,2.7590696407359513e-08,7.236569438023787e-08,-0.9999999999999846,-1.489510583398388e-07,2.8807090102223043e-08,1.0448674429715967e-07,-1.4895105220680487e-07,0.9999999999999818
step5,0.0,0.05,20,0.9999999999999881,0.9999999999999988,0.9999999999999994,7.440045192835599e-09,1.4880090442399874e-08,-2.3540323055920784e-18,1.689213281485036e-16,8.02864860099779e-16,0.9999999999999994,-2.3540323055920784e-18,0.9999999999999881,1.8497323351266072e-15,6.626787464894575e-15,3.3145836161478952e-15,1.4875588374961684e-07,1.487558837524083e-07,6.661338147750939e-15,9.547918011776346e-15,0.0,0.0,1.0,3.074098731426724e-09,-2.904929870835193e-08,3.032160500460179e-08,3.0740929639064287e-09,0.9999999999999898,7.617822333224624e-08,-1.0998551017527813e-07,2.904929427734309e-08,7.61782057170494e-08,-0.9999999999999831,-1.567927975813613e-07,3.0321609556516194e-08,1.0998552134067014e-07,-1.567927907170971e-07,0.9999999999999802
step5,0.0,0.05,30,0.9999999999999742,0.9999999999999987,0.9999999999999994,7.4400448552084025e-09,1.4880089721749772e-08,-2.05471616122553e-17,1.750050861586386e-16,6.761963296693165e-16,0.9999999999999994,-2.05471616122553e-17,0.9999999999999742,3.956431384727019e-15,1.431462635101218e-14,7.359469438683318e-15,2.2315632062542969e-07,2.2315632062981438e-07,1.3988810110276972e-14,2.0761170560490427e-14,0.0,0.0,1.0,4.57769437380966e-09,-4.363528374916226e-08,4.546679432948508e-08,4.5776816656858375e-09,0.9999999999999775,1.1430335444269057e-07,-1.649732607189598e-07,4.3635273667174505e-08,1.143033153794843e-07,-0.9999999999999635,-2.3521019236448067e-07,4.546680509864842e-08,1.649732869403865e-07,-2.3521017612485644e-07,0.9999999999999567
step5,0.0,0.05,40,0.9999999999999547,0.9999999999999987,0.9999999999999998,7.440044497708454e-09,1.4880089025161304e-08,8.858174528445568e-18,1.8835012446077085e-16,7.444682519480673e-16,0.9999999999999993,8.858174528445568e-18,0.9999999999999549,6.950491806335064e-15,2.5078239553421932e-14,1.3022556239895847e-14,2.975567604867678e-07,2.975567604762693e-07,2.4202861936828413e-14,3.630429290524262e-14,0.0,0.0,1.0,6.081293336406021e-09,-5.8221272305154005e-08,6.061198254414535e-08,6.081270909894187e-09,0.9999999999999601,1.5242848676233099e-07,-2.1996099644613692e-07,5.82212543115438e-08,1.5242841767098834e-07,-0.9999999999999359,-3.1362759145286117e-07,6.061200186202598e-08,2.1996104374848706e-07,-3.136275620868647e-07,0.9999999999999238
step5,0.0,0.05,50,0.9999999999999298,0.9999999999999984,0.9999999999999993,7.440044143131428e-09,1.4880088320195896e-08,-6.414062016482726e-17,1.1594449643749858e-16,7.426119786214771e-16,0.9999999999999993,-6.414062016482726e-17,0.9999999999999298,1.0642386674334261e-14,3.8917627362282406e-14,2.030384309834591e-14,3.719571995609613e-07,3.719571995643342e-07,3.730349362740526e-14,5.6621374255882984e-14,0.0,0.0,1.0,7.58489561921551e-09,-7.280726437632734e-08,7.575716981511604e-08,7.584860696531438e-09,0.999999999999938,1.905536210683231e-07,-2.7494871735680915e-07,7.280723621045111e-08,1.9055351336871967e-07,-0.9999999999999007,-3.9204499484650055e-07,7.575720012420462e-08,2.749487917649715e-07,-3.9204494860312167e-07,0.9999999999998814
