circuit,q,eps,n,F,purity,Q,diff,diff2,eig0,eig1,eig2,eig3,eig_min,p_Phi_plus,p_Phi_minus,p_Psi_plus,p_Psi_minus,bell_offdiag,delta_iso,iso_XXplusYY,iso_XXminusZZ,herm_err,trace_err,P_II,P_IX,P_IY,P_IZ,P_XI,P_XX,P_XY,P_XZ,P_YI,P_YX,P_YY,P_YZ,P_ZI,P_ZX,P_ZY,P_ZZ
step3,0.0,0.05,0,0.9624999999999998,0.926875,nan,nan,nan,0.0124999999999999,0.012500000000000011,0.012500000000000067,0.9624999999999999,0.0124999999999999,0.9624999999999998,0.01250000000000003,0.01250000000000001,0.01250000000000001,8.494454310017238e-17,1.9229626863835638e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,0.95
step3,0.0,0.05,1,0.9994942683749154,0.9989888777691334,0.9268749999999991,0.042717301609461626,nan,0.0001685772083614303,0.00016857720836144233,0.00016857720836147005,0.9994942683749156,0.0001685772083614303,0.9994942683749154,0.00016857720836149597,0.00016857720836143083,0.00016857720836142975,3.0743472885952415e-17,2.2126794315219943e-16,0.0,1.1102230246251565e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9993256911665541,-2.292485981953659e-49,0.0,0.0,2.292485981953659e-49,-0.9993256911665541,0.0,0.0,0.0,0.0,0.9993256911665542
step3,0.0,0.05,2,0.9999999146588838,0.9999998293177779,0.9989888777691324,0.0005838700363278407,0.04330117164578946,2.8447038585843742e-08,2.844703861207438e-08,2.844703861359935e-08,0.999999914658884,2.8447038585843742e-08,0.9999999146588839,2.844703862456249e-08,2.844703861208168e-08,2.8447038612067138e-08,2.4947428329545203e-17,2.9489575405375823e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.9999999999999999,0.0,0.0,0.0,0.0,0.9999998862118454,-4.0132049058356103e-51,0.0,0.0,4.0132049058356103e-51,-0.9999998862118454,0.0,0.0,0.0,0.0,0.9999998862118454
step3,0.0,0.05,3,0.9999999999999973,0.999999999999995,0.999999829317777,9.85434296316083e-08,0.0005839685797574723,8.092341449791892e-16,8.150837006110969e-16,8.545732884525889e-16,0.9999999999999976,8.092341449791892e-16,0.9999999999999973,8.088567489053774e-16,8.092341461755704e-16,8.092341437828084e-16,1.4325413136870338e-17,2.0803671823172206e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999967,6.162977241291795e-33,0.0,0.0,6.162977241291795e-33,-0.9999999999999967,0.0,0.0,0.0,0.0,0.9999999999999967
step3,0.0,0.05,4,0.9999999999999998,1.0,0.9999999999999941,2.8710742941614112e-15,9.85434325025232e-08,-1.675402781227306e-33,0.0,6.919286948496167e-31,1.0,-1.675402781227306e-33,0.9999999999999998,0.0,7.243011886225383e-31,6.5620539551424035e-31,2.2371143170757382e-17,3.065703529144605e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-5.535323621476611e-48,0.0,0.0,-5.4123206310610885e-48,-1.0,0.0,0.0,0.0,0.0,1.0
step3,0.0,0.1,0,0.9249999999999998,0.8574999999999999,nan,nan,nan,0.024999999999999935,0.024999999999999994,0.025000000000000026,0.925,0.024999999999999935,0.9249999999999998,0.024999999999999956,0.024999999999999988,0.024999999999999988,2.924295323337349e-18,1.7554167342883506e-16,0.0,1.1102230246251565e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.8999999999999999
step3,0.0,0.1,1,0.9978134110787171,0.995633197052249,0.8574999999999992,0.08407768497382466,nan,0.0007288629737607901,0.0007288629737609056,0.0007288629737609324,0.9978134110787173,0.0007288629737607901,0.9978134110787172,0.0007288629737608363,0.0007288629737609333,0.0007288629737609311,6.919015899507812e-17,2.50815709858676e-16,0.0,2.220446049250313e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9970845481049565,3.833819934009801e-49,0.0,0.0,-3.833819934009801e-49,-0.9970845481049565,0.0,0.0,0.0,0.0,0.9970845481049563
step3,0.0,0.1,2,0.9999983992862947,0.9999967985760063,0.9956331970522481,0.0025230070596422185,0.08660069203346688,5.335712349612873e-07,5.335712349729961e-07,5.335712350840183e-07,0.999998399286295,5.335712349612873e-07,0.9999983992862949,5.335712350664717e-07,5.335712349613196e-07,5.33571234961255e-07,2.396569611596525e-17,2.818324436499387e-16,0.0,2.220446049250313e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999978657150599,-6.04492808599473e-36,0.0,0.0,-6.044928085995235e-36,-0.9999978657150599,0.0,0.0,0.0,0.0,0.9999978657150601
step3,0.0,0.1,3,0.9999999999991459,0.9999999999982923,0.9999967985760053,1.8483439909934372e-06,0.002524855403633212,2.845024584160873e-13,2.846636102629941e-13,2.846991741945007e-13,0.9999999999991462,2.845024584160873e-13,0.9999999999991459,2.8456470967393087e-13,2.8469917421696744e-13,2.846991741720338e-13,8.425806121702802e-17,2.359582529746892e-16,0.0,3.3306690738754696e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999988616,-2.9387452853057616e-39,0.0,0.0,-2.938745285145017e-39,-0.9999999999988616,0.0,0.0,0.0,0.0,0.9999999999988612
step3,0.0,0.1,4,0.9999999999999998,1.0,0.9999999999982914,9.859890102333979e-13,1.8483449769824393e-06,-1.7677325328133014e-33,0.0,8.104441572665688e-26,1.0,-1.7677325328133014e-33,0.9999999999999998,0.0,8.105638328849131e-26,8.103244462935736e-26,2.2371143170757382e-17,3.065703528704364e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.162975822049685e-33,0.0,0.0,6.162975822049685e-33,-1.0,0.0,0.0,0.0,0.0,1.0
step3,0.0,0.2,0,0.8499999999999999,0.7300000000000001,nan,nan,nan,0.04999999999999999,0.04999999999999999,0.05000000000000002,0.8500000000000001,0.04999999999999999,0.8499999999999999,0.04999999999999998,0.049999999999999975,0.049999999999999975,2.4659545749914493e-17,1.9229626863835638e-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.8
step3,0.0,0.2,1,0.98972602739726,0.9795927941452428,0.7299999999999994,0.16134171906121036,nan,0.003424657534246574,0.0034246575342465847,0.0034246575342466623,0.9897260273972601,0.003424657534246574,0.98972602739726,0.003424657534246677,0.0034246575342465756,0.003424657534246571,3.023724835679758e-18,2.621020332062724e-16,0.0,1.1102230246251565e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9863013698630135,7.91478059337221e-34,0.0,0.0,7.91478059337221e-34,-0.9863013698630135,0.0,0.0,0.0,0.0,0.9863013698630136
step3,0.0,0.2,2,0.999964082179972,0.9999281660800643,0.9795927941452419,0.011821887369553863,0.1731636064307642,1.1972606675815421e-05,1.1972606675925449e-05,1.197260667601297e-05,0.9999640821799721,1.1972606675815421e-05,0.9999640821799721,1.1972606675957948e-05,1.197260667592561e-05,1.1972606675925288e-05,2.5978372884384644e-17,1.9544288354920367e-16,0.0,1.1102230246251565e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999521095732963,4.91512890840458e-35,0.0,0.0,4.915128908404569e-35,-0.9999521095732963,0.0,0.0,0.0,0.0,0.9999521095732964
step3,0.0,0.2,3,0.999999999569939,0.9999999991398784,0.9999281660800632,4.1473829532052e-05,0.011863361199085916,1.4335349574068346e-10,1.4335360676298574e-10,1.4335360826792175e-10,0.9999999995699391,1.4335349574068346e-10,0.999999999569939,1.4335347047714086e-10,1.4335360826842876e-10,1.4335360826741432e-10,9.643002355619951e-17,2.475886205825688e-16,0.0,2.220446049250313e-16,0.0,1.1102230246251565e-16,0.9999999999999999,0.0,0.0,0.0,0.0,0.9999999994265857,2.3109590258890242e-49,0.0,0.0,-2.3109590258890242e-49,-0.9999999994265857,0.0,0.0,0.0,0.0,0.9999999994265855
